,COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
144,Netherlands,NLD,EURO,REPORTING,2022-09-11,36105753.0,12776868,207.4,73.398,11957152,68.689,,2021-01-06,6.0,9417108.0,54.098
145,New Caledonia,NCL,WPRO,REPORTING,2023-04-03,480497.0,192371,168.301,67.381,184801,64.729,,2021-01-20,2.0,103325.0,36.191
146,New Zealand,NZL,WPRO,REPORTING,2023-04-21,12252378.0,4241210,254.081,87.95100000000001,4084115,84.693,,2021-02-19,4.0,2719283.0,56.391000000000005
147,Nicaragua,NIC,AMRO,REPORTING,2023-06-02,15498213.0,6404524,233.951,96.679,6117158,92.34100000000001,,2021-03-03,11.0,2892531.0,43.663999999999994
148,Niger,NER,AFRO,REPORTING,2023-03-12,7339299.0,6217508,30.319000000000003,25.685,5454196,22.531999999999996,,2021-03-29,2.0,,
149,Nigeria,NGA,AFRO,REPORTING,2023-03-19,116606863.0,82325196,56.567,39.937,69793071,33.857,,2021-03-05,1.0,12313372.0,5.973
150,Niue,NIU,WPRO,REPORTING,2023-03-04,4923.0,1638,304.265,101.236,1635,101.051,,2021-06-08,1.0,1225.0,75.711
151,North Macedonia,MKD,EURO,REPORTING,2023-05-07,1862987.0,854570,89.4,41.159,838181,40.37,,2021-02-17,7.0,161633.0,7.785
152,Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,2023-05-30,123536.0,46824,214.632,81.352,45953,79.839,,2020-12-19,3.0,26121.0,45.383
153,Norway,NOR,EURO,REPORTING,2023-05-14,12333824.0,4347099,229.8,80.988,4062092,75.678,,2020-12-23,4.0,3020359.0,56.27
154,occupied Palestinian territory,PSE,EMRO,REPORTING,2022-10-18,3748571.0,2012767,73.48100000000001,39.455,1776973,34.833,,2021-02-02,10.0,336967.0,6.605
155,Oman,OMN,EMRO,REPORTING,2022-10-25,7086050.0,3257365,138.762,63.787,3048826,59.703,,2020-12-29,11.0,779859.0,15.272
156,Pakistan,PAK,EMRO,REPORTING,2023-06-11,339286324.0,165554838,153.59799999999998,74.94800000000001,140456876,63.586000000000006,,2021-02-03,11.0,51496602.0,23.313000000000002
157,Palau,PLW,WPRO,REPORTING,2023-03-10,51032.0,18573,282.069,102.65899999999999,18278,101.02799999999999,,2021-01-03,3.0,12885.0,71.219
158,Panama,PAN,AMRO,REPORTING,2023-06-02,8901881.0,3533579,206.312,81.895,3174229,73.567,,2021-01-20,2.0,1769698.0,41.015
